Date,Open,High,Low,Close,Volume,Symbol,Daily_Return,Is_Outlier
2018-01-01,380.9399808553396,392.02007643711335,379.0279149278901,382.0675964355469,1445743.0,HDFCLIFE.NS,,False
2018-01-02,384.0776997772098,390.255092538865,376.8707216061327,387.8037414550781,1219713.0,HDFCLIFE.NS,0.015013429751818519,False
2018-01-03,390.255096728419,390.5492468921436,376.6255905409896,378.1454162597656,2275082.0,HDFCLIFE.NS,-0.024905188276610035,False
2018-01-04,382.4107923005756,394.12826316235095,379.71430594461,391.2356567382813,2974278.0,HDFCLIFE.NS,0.034616948707169914,False
2018-01-05,393.19671345928674,403.98265821752153,390.25509216158633,399.0799560546875,3554479.0,HDFCLIFE.NS,0.020050062363445642,False
2018-01-08,402.02159322866936,419.96547188377787,401.58033804710095,413.8861389160156,3806105.0,HDFCLIFE.NS,0.037100793053358005,False
2018-01-09,415.7491153756458,438.938889057492,414.42537989619217,427.02532958984375,6183645.0,HDFCLIFE.NS,0.031745906514869526,False
2018-01-10,429.4767324173249,433.30083432396793,418.6907870826433,420.8970031738281,2374166.0,HDFCLIFE.NS,-0.014351201184955142,False
2018-01-11,415.7491942936024,441.047128580658,415.7491942936024,438.0074768066406,2604294.0,HDFCLIFE.NS,0.04065240071511256,False
2018-01-12,440.9980604320986,449.7739092906743,435.6541030943954,447.0774230957031,5364763.0,HDFCLIFE.NS,0.020707286449054063,False
2018-01-15,451.0485585208374,478.5036881699319,448.1069374870058,465.6095886230469,5635852.0,HDFCLIFE.NS,0.04145180358028644,False
2018-01-16,470.5613264317662,484.6811020406832,462.0796580564289,473.2578125,8288750.0,HDFCLIFE.NS,0.016426259389483944,False
2018-01-17,475.9543288095504,478.6998600258837,460.8540118527366,469.0905456542969,5691140.0,HDFCLIFE.NS,-0.00880548981048912,False
2018-01-18,473.797138680136,480.268681455338,468.6983165722061,475.6111145019531,1772870.0,HDFCLIFE.NS,0.013900448235556029,False
2018-01-19,479.72943787064753,481.7885788978616,467.7178167895736,472.1302490234375,3488403.0,HDFCLIFE.NS,-0.007318721897743519,False
2018-01-22,472.130266959355,479.337245866532,459.8735102885514,461.0501708984375,3825798.0,HDFCLIFE.NS,-0.023468265691338863,False
2018-01-23,465.0212972004223,465.0212972004223,445.65562377984594,449.6268005371094,3561221.0,HDFCLIFE.NS,-0.024776848773459204,False
2018-01-24,448.5972376513913,451.0485886768088,439.28210375480506,446.3910217285156,2072037.0,HDFCLIFE.NS,-0.0071965879363249385,False
2018-01-25,446.1459129444067,451.0486152844552,438.30158920032926,439.77239990234375,1194340.0,HDFCLIFE.NS,-0.014826960005923207,False
2018-01-26,446.1459129444067,451.0486152844552,438.30158920032926,439.77239990234375,1194340.0,HDFCLIFE.NS,0.0,False
2018-01-29,438.30160165375327,443.7926344153678,435.7521903797478,436.6837158203125,1113037.0,HDFCLIFE.NS,-0.0070233695491511705,False
2018-01-30,435.3599560043379,439.3801777990318,408.8853640851552,413.6409912109375,3583717.0,HDFCLIFE.NS,-0.052767538093535515,False
2018-01-31,410.2581116624495,424.4759479575841,387.6076216489051,418.6907653808594,14738305.0,HDFCLIFE.NS,0.012208108667225215,False
2018-02-01,421.5833741160898,443.20427884699177,414.7686060891096,439.5272521972656,4965461.0,HDFCLIFE.NS,0.049765814150337206,False
2018-02-02,432.4183260542516,446.1458919607358,421.63238141344266,433.79107666015625,5311751.0,HDFCLIFE.NS,-0.013050784697497875,False
2018-02-05,419.867410436188,435.3599367566911,414.13124312255553,433.1047058105469,2268830.0,HDFCLIFE.NS,-0.001582261338554658,False
2018-02-06,409.8659094579319,432.124189716164,408.9343840578577,430.2611389160156,1893871.0,HDFCLIFE.NS,-0.006565541441554079,False
2018-02-07,434.3793766796285,440.556768938317,422.612892435485,425.0152282714844,1048027.0,HDFCLIFE.NS,-0.01219238776187781,False
2018-02-08,426.4369969692752,436.09532550885206,426.3879819207172,432.9085693359375,927897.0,HDFCLIFE.NS,0.01857190175644985,False
2018-02-09,421.9265521683887,437.3210495131143,421.9265521683887,430.9965515136719,1008995.0,HDFCLIFE.NS,-0.004416678157234344,False
2018-02-12,433.398882673228,442.2237468000584,426.5841145169097,433.15374755859375,1944360.0,HDFCLIFE.NS,0.005005135278567163,False
2018-02-13,433.398882673228,442.2237468000584,426.5841145169097,433.15374755859375,1944360.0,HDFCLIFE.NS,0.0,False
2018-02-14,433.20276701675306,434.28136751685446,422.6129419263693,423.4954223632813,2159701.0,HDFCLIFE.NS,-0.022297683558667458,False
2018-02-15,424.57401579397697,428.4961776026973,419.6713135330765,423.5934753417969,506167.0,HDFCLIFE.NS,0.00023153255817587315,False
2018-02-16,425.7016405427029,426.8292561023711,418.29857193800655,423.05419921875,522734.0,HDFCLIFE.NS,-0.0012730982756798959,False
2018-02-19,423.59347028834736,430.8494635631724,418.49464802835166,427.4175720214844,693977.0,HDFCLIFE.NS,0.010313980598212202,False
2018-02-20,430.9475326274701,433.3988837800723,424.181809431032,426.0448303222656,781850.0,HDFCLIFE.NS,-0.0032117109568666757,False
2018-02-21,430.3591881109194,441.7334630669772,427.6627019323751,440.8509826660156,1312613.0,HDFCLIFE.NS,0.03475256895512713,False
2018-02-22,438.497727036846,445.6556607739578,435.2619254070265,442.0276489257813,772690.0,HDFCLIFE.NS,0.002669079362486393,False
