Date,Open,High,Low,Close,Volume,Symbol,Daily_Return,Is_Outlier
2018-01-01,122.06533264661827,122.3779999994743,120.06426349670986,120.28313446044922,5899565.0,ONGC.NS,,False
2018-01-02,122.40926547594631,123.50360118262782,121.94026445879707,123.09713745117188,12878378.0,ONGC.NS,0.023394825910925565,False
2018-01-03,123.441055356995,123.441055356995,120.68958673014596,120.97098541259766,8032715.0,ONGC.NS,-0.01727214850481462,False
2018-01-04,122.12784622696036,125.0669168649162,122.06530895178852,124.7542495727539,12740860.0,ONGC.NS,0.0312741451783054,False
2018-01-05,125.66100828653106,125.66100828653106,122.75320569667112,124.09767150878906,6812787.0,ONGC.NS,-0.005262971531738825,False
2018-01-08,123.81629051251136,125.0044228168503,123.00335336340228,123.44108581542967,4858711.0,ONGC.NS,-0.005290878429680235,False
2018-01-09,124.12891219473129,124.44157947985654,122.8782430542302,123.19091033935548,4598757.0,ONGC.NS,-0.002026679159710665,False
2018-01-10,124.00389330835004,125.0669605647803,123.34728985701456,123.75375366210938,7673209.0,ONGC.NS,0.004568870553869786,False
2018-01-11,123.8162909591325,124.87935821556276,123.1909561563086,123.75375366210938,5701402.0,ONGC.NS,0.0,False
2018-01-12,124.37908417436816,126.2863571655584,123.59741569780265,125.53595733642578,9291346.0,ONGC.NS,0.014401209026616124,False
2018-01-15,124.7542857909012,125.2858241586305,122.56561411035906,122.9408187866211,4500523.0,ONGC.NS,-0.020672471894645605,False
2018-01-16,123.56615678888892,123.97262058060932,121.94028253830425,123.3160171508789,5778244.0,ONGC.NS,0.0030518616026871115,False
2018-01-17,122.7532259455248,124.22275703389964,121.37749126254656,122.37802124023438,6306388.0,ONGC.NS,-0.007606440203926423,False
2018-01-18,122.81575729336308,123.50362942589378,120.84595638761506,121.37749481201172,6247782.0,ONGC.NS,-0.008175703595162509,False
2018-01-19,121.40871801899732,122.65938731424056,120.06425234335065,121.1273193359375,5046015.0,ONGC.NS,-0.0020611356039411666,False
2018-01-22,123.81629755779542,128.78770759682126,123.81629755779542,125.50469970703124,23165754.0,ONGC.NS,0.03613867123529246,False
2018-01-23,126.31760268866698,130.5073430476934,125.31706340508616,129.66314697265625,15755015.0,ONGC.NS,0.03313379718315068,False
2018-01-24,130.81999880662585,132.57093762705102,130.06959918125762,131.851806640625,16132441.0,ONGC.NS,0.01687958158558578,False
2018-01-25,132.8211109223273,133.10251922262898,129.50684403548377,130.38230895996094,10247173.0,ONGC.NS,-0.011145070500773069,False
2018-01-26,132.8211109223273,133.10251922262898,129.50684403548377,130.38230895996094,10247173.0,ONGC.NS,0.0,False
2018-01-29,130.06962232729452,130.35102104415174,127.72461711706688,128.28741455078125,7620080.0,ONGC.NS,-0.016067320987719347,False
2018-01-30,127.47447645161462,130.0696115185378,127.25560550010792,128.06854248046875,7323876.0,ONGC.NS,-0.0017061071117452364,False
2018-01-31,126.94296647813869,127.94350599125887,124.3165621835131,127.224365234375,11990243.0,ONGC.NS,-0.0065916050088763445,False
2018-02-01,127.59957361512986,129.47557809991437,121.31495668273132,121.87775421142578,10015459.0,ONGC.NS,-0.04202505560235725,False
2018-02-02,121.31492058580132,123.659925494032,117.5629127326322,120.50198364257812,12239774.0,ONGC.NS,-0.011288118801902614,False
2018-02-05,120.31439693928726,120.3456655838206,117.56292797366514,118.03192901611328,7607002.0,ONGC.NS,-0.020498041208942164,False
2018-02-06,113.8109423250676,116.93761656476724,112.62280993072272,115.96834564208984,5935676.0,ONGC.NS,-0.017483263988185116,False
2018-02-07,117.59419026727922,119.75159303765548,116.93758693494294,118.81359100341795,8644010.0,ONGC.NS,0.024534672332994445,False
2018-02-08,118.81362387512924,119.81416347187144,117.5629541501279,118.0006866455078,4540513.0,ONGC.NS,-0.006841846551770114,False
2018-02-09,117.18771509414005,118.93865410470036,115.4367856254297,117.15645599365234,7314145.0,ONGC.NS,-0.007154455417633709,False
2018-02-12,120.06427673020288,121.62761366679406,119.03247816879328,119.4389419555664,14960914.0,ONGC.NS,0.019482374595197083,False
2018-02-13,120.06427673020288,121.62761366679406,119.03247816879328,119.4389419555664,14960914.0,ONGC.NS,0.0,False
2018-02-14,119.43894484097672,120.06427963072004,115.2492036580667,116.15593719482422,4960527.0,ONGC.NS,-0.027486887500757784,False
2018-02-15,117.00013427411751,118.18826646950444,115.68692749660488,117.7505340576172,5046557.0,ONGC.NS,0.01372807022441247,False
2018-02-16,117.31280299392508,118.37587016125433,116.6249309517321,116.87506103515624,4167034.0,ONGC.NS,-0.007434981331231882,False
2018-02-19,117.18773961261311,117.18773961261311,113.71713904954764,115.87454223632812,4265576.0,ONGC.NS,-0.008560584182515707,False
2018-02-20,116.18719938451754,117.87560131460587,115.5618646295329,116.9375991821289,5328584.0,ONGC.NS,0.009174206217209102,False
2018-02-21,117.5629436504096,119.31388301740311,115.49933688009057,118.90740966796876,4651807.0,ONGC.NS,0.016844971160831612,False
2018-02-22,117.25025878856204,117.81305621400696,115.8432556830993,116.37479400634766,8629189.0,ONGC.NS,-0.021299056708854902,False
2018-02-23,116.96885199543269,119.34512565109397,116.6249160183758,118.6885223388672,4880302.0,ONGC.NS,0.019881696481399036,False
2018-02-26,119.03246307373048,120.03299286115612,118.50092476595576,119.03246307373048,2721955.0,ONGC.NS,0.0028978432630688555,False
2018-02-27,119.4389550894578,121.53383063158978,116.37481817353728,117.87561798095705,6611097.0,ONGC.NS,-0.009718736073342171,False
2018-02-28,117.37532939494189,118.9386662530041,116.4998645711674,117.7505340576172,6147245.0,ONGC.NS,-0.001061151792731696,False
2018-03-01,117.50036477110028,118.938636225782,117.1564383826349,118.62596893310548,3450224.0,ONGC.NS,0.007434657366903519,False
2018-03-02,117.50036477110028,118.938636225782,117.1564383826349,118.62596893310548,3450224.0,ONGC.NS,0.0,False
2018-03-05,118.18826380805258,118.43839388296956,115.1866551997954,116.0308609008789,5082390.0,ONGC.NS,-0.021876390604573137,False
2018-03-06,116.62493720357908,116.8750673004118,115.37426763571229,115.93706512451172,2906142.0,ONGC.NS,-0.0008083692186625635,False
2018-03-07,115.68692441157404,115.84325809321128,111.80985101534006,113.49825286865234,4482279.0,ONGC.NS,-0.021035656312674345,False
2018-03-08,113.81090272913382,114.24863506202988,112.18502887340652,112.6540298461914,3288627.0,ONGC.NS,-0.0074382028015702595,False
