Date,Open,High,Low,Close,Volume,Symbol
2018-01-01,529.3114718558335,542.1853867839865,529.0799270299998,531.6732177734375,5314142,SUNPHARMA.NS
2018-01-02,534.4054602113524,539.0363567469793,525.3289143074232,529.9135131835938,3839130,SUNPHARMA.NS
2018-01-03,532.553013600849,536.2114325653962,525.1435803681416,527.042236328125,2182632,SUNPHARMA.NS
2018-01-04,529.7746095225554,540.8424645064185,518.7530522021552,538.2954711914062,6246746,SUNPHARMA.NS
2018-01-05,541.8149271691077,543.9914260596101,532.8309760451896,536.0263061523438,4600683,SUNPHARMA.NS
2018-01-08,544.5933896735858,559.9679423484913,542.8799807022267,547.9276123046875,10475190,SUNPHARMA.NS
2018-01-09,552.9290453040081,553.855224609375,541.212854479318,543.2041625976562,4025566,SUNPHARMA.NS
2018-01-10,547.186642242017,550.150426891438,538.4805919631127,541.9074096679688,2929462,SUNPHARMA.NS
2018-01-11,542.5095134181316,554.3182992415738,537.6470721967144,544.547119140625,5930449,SUNPHARMA.NS
2018-01-12,546.4458584333805,547.7888298998382,536.8135698424136,540.37939453125,2842683,SUNPHARMA.NS
2018-01-15,543.4820521937426,543.4820521937426,532.0900570561436,533.8961181640625,4456611,SUNPHARMA.NS
2018-01-16,534.7296363108213,540.8424540665575,529.9135488135475,535.0538330078125,4868363,SUNPHARMA.NS
2018-01-17,539.9626529669098,542.6485961509338,534.1277333745418,540.6572875976562,4812606,SUNPHARMA.NS
2018-01-18,542.7410188521052,545.9363484430545,531.9047107534257,534.1275634765625,3679687,SUNPHARMA.NS
2018-01-19,537.1839651537358,537.7860042782062,525.6993198386509,529.8671264648438,4693971,SUNPHARMA.NS
2018-01-22,530.7009198018314,536.1654021463274,526.8572517848279,533.618408203125,3072409,SUNPHARMA.NS
2018-01-23,536.2577690640713,542.6020741173671,533.0161417899362,536.5819091796875,4790590,SUNPHARMA.NS
2018-01-24,534.4054867646164,552.4659841509422,532.6457233818404,543.25048828125,7168397,SUNPHARMA.NS
2018-01-25,547.3719657415763,552.002862236852,535.3316348538598,537.0450439453125,4213982,SUNPHARMA.NS
2018-01-29,538.1564594949634,550.3357396423123,535.6557641323351,544.547119140625,6006564,SUNPHARMA.NS
2018-01-30,542.4632106079777,550.8451217089142,537.2302751123532,548.2518310546875,3542190,SUNPHARMA.NS
2018-01-31,546.4457574410999,550.9840583774088,532.5993663491934,537.0913696289062,4781423,SUNPHARMA.NS
2018-02-01,537.184047261891,537.184047261891,508.981873474741,513.3812255859375,8789899,SUNPHARMA.NS
2018-02-02,511.25091129184693,525.4677392023871,504.4435168782901,510.5099792480469,10873325,SUNPHARMA.NS
2018-02-05,499.0254380270375,519.0772441912852,494.16299628799163,516.2987060546875,4734366,SUNPHARMA.NS
2018-02-06,497.35823290498485,513.5663689866184,491.9864048238276,511.065673828125,6325143,SUNPHARMA.NS
2018-02-07,514.9556508224807,516.2986220091216,502.5448265541701,508.93548583984375,5110233,SUNPHARMA.NS
2018-02-08,500.18313512184517,543.6672659070205,494.3945143178948,540.9813232421875,13707589,SUNPHARMA.NS
2018-02-09,528.0148589363185,542.7411341645301,528.0148589363185,539.6847534179688,3796079,SUNPHARMA.NS
2018-02-12,542.741081864287,563.9969085776705,541.8149025436995,545.6585693359375,10261511,SUNPHARMA.NS
2018-02-14,547.325677433819,548.1129072396668,529.033635964953,532.3678588867188,6630066,SUNPHARMA.NS
2018-02-15,523.6618683191678,541.7686647309514,523.6618683191678,533.247802734375,10715444,SUNPHARMA.NS
2018-02-16,532.9235564311631,534.9148078761907,521.7630513839259,532.7846069335938,6640151,SUNPHARMA.NS
2018-02-19,532.5530458976963,534.6369491207741,512.686490531788,519.95703125,3518880,SUNPHARMA.NS
2018-02-20,522.967111146482,524.8194695580102,515.8818176105898,518.197265625,2481944,SUNPHARMA.NS
2018-02-21,518.7067864026362,521.4390270688451,473.5555384992504,486.9388427734375,21898950,SUNPHARMA.NS
2018-02-22,488.55961444877795,506.62011204451477,485.3179866751842,501.4798278808594,12473655,SUNPHARMA.NS
2018-02-23,509.39869578810834,532.784726822017,505.69397800055845,527.59814453125,30844893,SUNPHARMA.NS
2018-02-26,527.9222950403928,529.682058635664,512.50138433662,514.9094848632812,8083731,SUNPHARMA.NS
2018-02-27,514.9093488979878,521.8556930511322,502.0354351223627,504.5824279785156,6920945,SUNPHARMA.NS
2018-02-28,502.9154035138284,511.5751581080203,493.32946953931634,495.8301086425781,8366660,SUNPHARMA.NS
2018-03-01,498.2380883155265,501.5260130136888,493.8850349760841,495.8763427734375,4264631,SUNPHARMA.NS
2018-03-05,495.59854067255105,511.89933092328187,488.14280831476395,508.0556640625,7343286,SUNPHARMA.NS
2018-03-06,519.5865623140537,521.4389208249772,490.87500539473876,492.4958190917969,9825945,SUNPHARMA.NS
2018-03-07,492.72742978311095,494.71873806038906,481.7058725577401,486.105224609375,6282066,SUNPHARMA.NS
2018-03-08,490.5971569099798,491.33808899936736,471.88832487309645,476.61181640625,9316674,SUNPHARMA.NS
2018-03-09,476.05616715829194,481.520647719963,467.72055333645415,469.3876647949219,4996423,SUNPHARMA.NS
2018-03-12,473.2776286905343,477.908525253064,469.1561194439831,474.80584716796875,4632925,SUNPHARMA.NS
2018-03-13,474.8058410655046,486.7072224664432,474.8058410655046,484.66961669921875,4795084,SUNPHARMA.NS
2018-03-14,484.66965689566166,484.66965689566166,478.00115407236905,481.70587158203125,2469628,SUNPHARMA.NS
2018-03-15,481.6132119098738,489.94882519292935,476.75077082809145,478.3252868652344,3013808,SUNPHARMA.NS
