Date,Open,High,Low,Close,Volume,Symbol
2018-01-01,416.91148703995174,419.64350843561266,413.8179164085027,415.24420166015625,5431340,INFY.NS
2018-01-02,416.7307329660515,418.63911665521874,411.0055818985497,413.6973876953125,6112248,INFY.NS
2018-01-03,413.2152528399157,414.4607143815207,409.23777000921257,410.3225402832031,6846552,INFY.NS
2018-01-04,410.2020223951051,410.2020223951051,405.62189206209626,407.9521484375,8947614,INFY.NS
2018-01-05,407.91203185870853,412.3716384245068,404.1756219675418,406.5862121582031,11025976,INFY.NS
2018-01-08,411.7689071888305,417.43378317683715,409.8203324676665,416.24859619140625,5594690,INFY.NS
2018-01-09,417.83561775832084,419.8042761507061,413.3760358775011,418.37799072265625,9948236,INFY.NS
2018-01-10,420.56760261480247,424.2638208303635,415.0433341144071,422.7572021484375,9468634,INFY.NS
2018-01-11,423.96252058333675,435.2722152576494,423.96252058333675,432.21881103515625,16775298,INFY.NS
2018-01-12,436.23645926843363,436.2766259599619,430.1095429812005,433.283447265625,18016528,INFY.NS
2018-01-15,433.90624652455557,439.1090842149857,427.91993757397216,434.3682861328125,10649250,INFY.NS
2018-01-16,434.4083823813349,455.92291656664565,434.4083823813349,451.1217956542969,22646966,INFY.NS
2018-01-17,451.9254070180735,466.7706550527057,451.18215148374077,462.8735046386719,26154088,INFY.NS
2018-01-18,460.0209310300058,468.0160644435227,454.8381526533535,463.114501953125,13204970,INFY.NS
2018-01-19,460.020918200023,461.18604649151604,456.4050332534726,459.3981628417969,5988278,INFY.NS
2018-01-22,454.8582591253875,464.8220017992737,454.79798456606653,462.0297546386719,9650214,INFY.NS
2018-01-23,464.0385753240007,477.29682033325787,464.0385753240007,472.9175720214844,15403796,INFY.NS
2018-01-24,471.99363950338676,490.5752746070003,469.060734777705,476.4130554199219,20604718,INFY.NS
2018-01-25,474.88619711312134,475.44867788288417,466.95133891262714,472.23455810546875,13548914,INFY.NS
2018-01-29,468.6790755296416,480.6114788350061,468.13665343464305,475.2479248046875,10823002,INFY.NS
2018-01-30,473.64076360969415,475.3281569755218,467.1321412481192,470.3262023925781,8628312,INFY.NS
2018-01-31,465.7059062717596,468.69903588320244,458.87590131996586,462.13018798828125,9213698,INFY.NS
2018-02-01,458.89595318731614,465.2036929733251,449.39425038327795,459.8601989746094,13005454,INFY.NS
2018-02-02,456.1036599378421,467.21247062502516,454.0345606345845,459.3177795410156,10244486,INFY.NS
2018-02-05,458.0121371057087,463.97833803034274,456.34480241191426,457.2889404296875,9860220,INFY.NS
2018-02-06,441.92141948741573,453.33155600241673,439.992976794193,445.0552062988281,10552078,INFY.NS
2018-02-07,448.36976191749824,451.905313707757,443.36780704042116,445.5775146484375,8342056,INFY.NS
2018-02-08,451.1018057668199,460.5834508860738,448.5907742710649,455.7019958496094,8807244,INFY.NS
2018-02-09,449.17328635197475,450.0973655030471,444.35210617646163,445.61767578125,4382690,INFY.NS
2018-02-12,447.887647346829,450.21785495048965,441.0576422594593,443.06646728515625,6291972,INFY.NS
2018-02-14,444.35203643638977,448.8920000065597,438.0041305841549,441.0374755859375,8345712,INFY.NS
2018-02-15,443.14675898349697,453.8738639942259,443.14675898349697,447.7469482421875,7986736,INFY.NS
2018-02-16,451.98568705222584,458.67508502931594,449.2134983629217,453.2110900878906,9889222,INFY.NS
2018-02-19,453.3515764828882,456.4049802746024,450.0972902174617,454.6974792480469,6461840,INFY.NS
2018-02-20,443.4481338108958,461.828883185164,443.4481338108958,456.7867126464844,7188594,INFY.NS
2018-02-21,461.0252741076361,462.7930496732775,458.0120370219653,460.985107421875,13771358,INFY.NS
2018-02-22,460.2419460925618,467.6544912199817,458.1929052209074,466.3487548828125,17859974,INFY.NS
2018-02-23,467.45352772263055,468.45794011567443,460.7239646892364,464.2996826171875,9459828,INFY.NS
2018-02-26,462.43144954693213,464.05861718405265,455.742053435041,457.4495544433594,5083608,INFY.NS
2018-02-27,460.00081068386646,463.4961955610125,452.2467757187169,462.1100769042969,6616026,INFY.NS
2018-02-28,461.06555408878444,477.899519219308,459.03667004536175,471.10968017578125,17268416,INFY.NS
2018-03-01,469.90436556146443,469.90436556146443,464.4604788741854,466.3487548828125,6579852,INFY.NS
2018-03-05,466.34869681310846,470.3864544473141,459.31780971922143,464.400146484375,8101456,INFY.NS
2018-03-06,467.07194118135754,468.2169616736668,459.458464665934,462.5721435546875,6689734,INFY.NS
2018-03-07,464.03861144563115,466.04743660340444,457.2287137782128,459.65936279296875,6370416,INFY.NS
2018-03-08,461.6279954401333,468.37766721021484,461.6279954401333,464.7015075683594,6093014,INFY.NS
2018-03-09,466.9915182636261,468.4579702605499,464.25954580489093,467.41339111328125,4220964,INFY.NS
2018-03-12,472.4756440000395,478.84360949523574,470.7681427355836,476.3928527832031,7676970,INFY.NS
2018-03-13,474.1630123468824,480.91268366487276,472.1341286130389,475.6094055175781,8581052,INFY.NS
2018-03-14,474.0827126610934,478.3414119661126,469.70346423542316,474.4041442871094,4429710,INFY.NS
2018-03-15,474.0827456065011,477.4575817398743,470.86862529730445,475.087158203125,6101500,INFY.NS
2018-03-16,474.8862162318409,475.04693203589716,469.7637126303553,470.8283996582031,17954826,INFY.NS
2018-03-19,467.65441407527385,474.283535924279,459.07674197633656,460.7239685058594,7526620,INFY.NS
2018-03-20,461.467216287025,470.06499611006046,461.467216287025,467.8753967285156,8553766,INFY.NS
2018-03-21,470.0649591809422,472.274666254015,466.93117316897474,469.060546875,7692994,INFY.NS
2018-03-22,467.85536109969445,473.05819843910274,464.1591425701821,466.5697326660156,6813168,INFY.NS
2018-03-23,460.8244504509628,471.59177196210464,458.9562334106891,469.1007995605469,12008084,INFY.NS
2018-03-26,468.8196411901862,468.8196411901862,459.61921184368913,464.1390686035156,8930722,INFY.NS
2018-03-27,466.0474309805568,466.5697451327093,462.06994740743727,463.6368408203125,3802088,INFY.NS
2018-03-28,462.33107857928195,462.33107857928195,452.48783597646434,454.7176513671875,12558322,INFY.NS
2018-04-02,458.41388144403544,461.84899193469,450.4991302775524,456.8670959472656,8072702,INFY.NS
2018-04-03,455.8827223615923,459.4383818189937,453.23108319078784,458.19287109375,4077168,INFY.NS
2018-04-04,459.61911997746665,459.84011032565496,449.9767608171002,451.6641540527344,4813302,INFY.NS
2018-04-05,457.8313813162064,462.5521206430991,453.63290712698904,461.0455017089844,7763544,INFY.NS
2018-04-06,459.2173940392861,460.4226890367645,450.82049574813715,452.7891540527344,5937742,INFY.NS
2018-04-09,451.98557181084783,452.30700339045376,444.57302805057924,446.4613037109375,7202882,INFY.NS
2018-04-10,446.7625925435806,451.78465406048235,444.1109538713703,447.3250732421875,8926058,INFY.NS
2018-04-11,449.1732340874819,454.5970611538334,448.57058663566505,451.68426513671875,9025574,INFY.NS
2018-04-12,453.7734900466595,471.16993533008497,451.98565529426185,467.0920104980469,17044366,INFY.NS
2018-04-13,471.67222569686214,476.4532401783169,462.1303046063166,470.647705078125,21227038,INFY.NS
2018-04-16,442.7450712978126,458.01214272187514,442.7450712978126,455.2801208496094,24745084,INFY.NS
2018-04-17,452.78917565432704,452.94989147037404,447.9679954344052,452.06597900390625,10397940,INFY.NS
2018-04-18,451.12181736992966,455.9028306460951,447.50593239454753,452.3672790527344,10430380,INFY.NS
2018-04-19,451.58385493066123,457.9317614768333,451.2222566260046,455.13946533203125,8525542,INFY.NS
2018-04-20,457.6102032792679,479.58672283600873,456.78656564891617,473.4598083496094,24272692,INFY.NS
2018-04-23,469.26148865970146,487.90339322339105,464.13898525181514,477.1762390136719,21830638,INFY.NS
2018-04-24,476.091665711533,480.6717978739323,462.0700532586518,463.83782958984375,8526216,INFY.NS
2018-04-25,462.83338167332533,470.46691835022915,460.1013594557344,466.1881103515625,11594178,INFY.NS
2018-04-26,471.67215888845607,474.7456712657391,466.04744830545917,472.6564636230469,11302084,INFY.NS
2018-04-27,474.0827469282094,478.7432115808208,471.7524900801117,476.1719055175781,7663370,INFY.NS
2018-04-30,474.7656776884935,485.31200886754107,474.34385386747886,481.9171142578125,5511678,INFY.NS
2018-05-02,481.67611684430256,482.76086283617417,474.4845128109323,480.932861328125,10295042,INFY.NS
2018-05-03,481.013164880851,484.0062946293508,472.5158249930118,475.10723876953125,5332230,INFY.NS
2018-05-04,476.09156054062237,476.4933255706145,464.0386096408598,471.310546875,6023368,INFY.NS
2018-05-07,474.5849665805433,478.10041077743625,472.27481753687084,475.2880554199219,4638960,INFY.NS
2018-05-08,473.23907136972997,473.23907136972997,466.4693399548263,468.27728271484375,5718556,INFY.NS
2018-05-09,469.0605936614151,472.8371941171684,467.2526513303861,470.3462219238281,3783504,INFY.NS
2018-05-10,472.47574793149346,475.28810357394286,467.1925271658884,469.2616271972656,3182862,INFY.NS
2018-05-11,470.98919910126864,475.3683990171065,468.4781674781569,474.38409423828125,3311706,INFY.NS
2018-05-14,475.83047774966633,478.703107971305,470.0651584779075,477.8192443847656,4432094,INFY.NS
2018-05-15,477.3369920564444,485.3321254550237,477.3369920564444,479.92840576171875,5611974,INFY.NS
2018-05-16,476.99542395956325,481.3143970550068,475.8905703770079,478.0801696777344,6205004,INFY.NS
2018-05-17,480.5110375646122,481.0935773154614,471.49143110067195,475.2479248046875,9519598,INFY.NS
2018-05-18,475.2880137822258,476.71429920602077,471.270363623458,475.36834716796875,7139660,INFY.NS
2018-05-21,473.9020353623331,477.4576466288915,470.0651591043444,473.8819274902344,8475320,INFY.NS
2018-05-22,472.07401514250637,481.3146128857214,471.63208332002785,479.64727783203125,5636804,INFY.NS
2018-05-23,480.1091470212176,485.1914837837558,474.68531983729594,476.05133056640625,9538442,INFY.NS
2018-05-24,481.31448886630767,493.1866646990985,481.31448886630767,490.5550842285156,9740570,INFY.NS
2018-05-25,494.2110930959676,501.6638531075792,490.4747082005028,493.4879455566406,8901438,INFY.NS
2018-05-28,494.5727627353841,495.21557698871175,484.5286367659409,487.9034729003906,5739794,INFY.NS
2018-05-29,487.7628765053121,492.7849396090545,484.6089816412939,488.8275146484375,3388934,INFY.NS
2018-05-30,488.9480388154797,493.6687778919644,484.36790769000356,486.81866455078125,6323066,INFY.NS
2018-05-31,486.81879910161416,498.9923024255701,486.23625926775054,494.8943176269531,19720340,INFY.NS
2018-06-01,494.3316656352432,500.6996310742927,489.0283382109568,490.4747314453125,4998356,INFY.NS
2018-06-04,490.5951912542048,499.39385383769496,486.93913986426895,497.947509765625,4270156,INFY.NS
2018-06-05,498.9921519441211,498.9921519441211,488.9480265024117,490.49481201171875,4710862,INFY.NS
2018-06-06,492.242441419602,498.8113381780972,490.173390975766,497.1640625,4038184,INFY.NS
2018-06-07,497.38515765486983,505.420459070942,497.38515765486983,503.1906433105469,6676226,INFY.NS
2018-06-08,501.40270035931815,507.02741013899,500.61927825743754,506.2439880371094,6459878,INFY.NS
2018-06-11,508.45367982180323,510.2415143293854,504.23514761671777,507.1881103515625,5171290,INFY.NS
2018-06-12,508.5340732457764,510.7437808522167,502.38704883224636,505.62127685546875,7839820,INFY.NS
2018-06-13,508.9559845828344,515.8663238203142,508.9559845828344,512.1701049804688,5766928,INFY.NS
2018-06-14,515.7510225863074,515.7510225863074,507.9715278389339,510.27655029296875,7598848,INFY.NS
2018-06-15,509.1652164157774,531.5981220703125,508.3419905201982,527.3790893554688,19957760,INFY.NS
2018-06-18,528.511110719428,531.4953050751257,519.5996789046469,521.6783447265625,8214846,INFY.NS
2018-06-19,519.867213457977,520.0318687053672,509.5974893157479,511.0586853027344,7545700,INFY.NS
2018-06-20,513.8988358322978,515.4835358495953,509.57689928745265,511.69671630859375,5371802,INFY.NS
2018-06-21,512.8491224105582,517.1916590251336,508.7535937565182,513.0961303710938,5798790,INFY.NS
2018-06-22,511.63485196754925,516.7800133911971,510.89392862425717,513.6311645507812,4343118,INFY.NS
2018-06-25,517.4591884572455,526.3706181560215,516.1625977200493,523.7568359375,7731178,INFY.NS
2018-06-26,522.3367889751644,528.4698314559311,521.2048534592608,525.9795532226562,4483504,INFY.NS
2018-06-27,528.4904549787012,532.4007782103157,520.9373669962538,522.7484741210938,6952142,INFY.NS
2018-06-28,525.3416784627054,534.2736602342792,525.3210777149452,530.8161010742188,10996818,INFY.NS
2018-06-29,534.2943277479893,541.2711486917689,528.2024346454087,538.060546875,9966600,INFY.NS
2018-07-02,540.8593931403195,551.561329382061,540.8593931403195,549.3797607421875,4830144,INFY.NS
2018-07-03,548.2273958598643,558.9293344671761,548.1656438572145,557.2211303710938,8127452,INFY.NS
2018-07-04,556.5213101003195,556.7682678215988,551.0879890035675,553.7017211914062,5025722,INFY.NS
2018-07-05,554.4838154205409,554.545567414471,521.966391166881,528.5110473632812,17019902,INFY.NS
2018-07-06,531.0836304376301,535.8583308035804,522.3368548927359,528.6139526367188,11215356,INFY.NS
2018-07-09,533.8621830516197,536.3318616162379,526.4737481107661,534.6236572265625,6644998,INFY.NS
2018-07-10,538.5955989263365,541.4562891165733,532.7507145502259,535.6731567382812,5974488,INFY.NS
2018-07-11,542.3207058076921,552.4257743921196,531.536415506497,543.5143432617188,11899832,INFY.NS
2018-07-12,545.8400146270992,546.2516276462352,528.6963223309389,532.7713012695312,13272240,INFY.NS
2018-07-13,541.2710909262584,548.1038566256877,534.417724478693,542.2589721679688,19496158,INFY.NS
2018-07-16,542.2590070897297,569.8370796582125,530.0340701470088,548.618408203125,35344680,INFY.NS
2018-07-17,547.321744778794,555.4717016632505,540.3243243058224,546.5808715820312,11161690,INFY.NS
2018-07-18,551.478984648932,552.9607810428271,540.8593517088735,544.378662109375,6919016,INFY.NS
2018-07-19,544.5639459056149,548.2273112975863,538.8425157143025,541.9707641601562,5118864,INFY.NS
2018-07-20,545.7988099932676,562.7366941232746,543.8642490908273,554.8954467773438,11705738,INFY.NS
2018-07-23,556.5624877745416,563.0865433038812,550.0178314984,558.1265869140625,7675702,INFY.NS
2018-07-24,565.7209085057756,569.0138124548829,558.1472193736836,566.8528442382812,6172246,INFY.NS
2018-07-25,567.6142355377004,573.7061270543768,562.0368601881175,569.5693969726562,6936922,INFY.NS
2018-07-26,567.4291276165246,572.3067316721202,563.5805058267497,565.24755859375,7362218,INFY.NS
2018-07-27,565.2269917622016,571.7304977237301,563.2101281151246,565.3298950195312,6493232,INFY.NS
2018-07-30,563.909881388497,565.1447205448221,554.8543942421123,556.0892333984375,6409970,INFY.NS
2018-07-31,555.0805978648385,563.9096744949588,549.7296301506527,561.8927612304688,7943996,INFY.NS
2018-08-01,561.357646830803,563.2716064614126,556.0889820469515,557.3444213867188,4675706,INFY.NS
2018-08-02,559.6290088226281,562.5720517380083,555.7392861816288,557.179931640625,5940742,INFY.NS
2018-08-03,562.3455782963723,562.3455782963723,558.1471464084025,561.481201171875,3970390,INFY.NS
2018-08-06,562.2839384305478,565.9678545491411,554.6484974581582,560.0612182617188,6178930,INFY.NS
2018-08-07,565.5561351232161,568.0052118254996,560.0611128551142,563.0658569335938,7351528,INFY.NS
2018-08-08,564.6507772163959,564.9388862404118,557.0359361268165,560.9256591796875,3992358,INFY.NS
2018-08-09,565.4122391958172,571.9156948129604,565.4122391958172,568.00537109375,6409524,INFY.NS
2018-08-10,570.4133918752524,571.7305335533234,565.165325422549,570.269287109375,4779520,INFY.NS
2018-08-13,572.1420586492069,580.3125664879658,567.4908117431926,579.8598022460938,9979746,INFY.NS
2018-08-14,582.0000723299038,586.363209509921,577.9045438446765,579.6744995117188,6151320,INFY.NS
2018-08-16,582.4116758733373,590.6233837016991,580.8887281811759,588.4212646484375,6626774,INFY.NS
2018-08-17,588.9769565280935,591.7553438289062,585.7252043046651,588.7505493164062,6390408,INFY.NS
2018-08-20,571.3187560318652,579.5304140191937,565.3503684508406,569.7752075195312,16101876,INFY.NS
2018-08-21,572.142134497771,574.6118127761787,565.4534224937503,569.65185546875,8361482,INFY.NS
2018-08-23,573.3769419631411,576.8756526642802,570.2280922829699,575.1880493164062,7717182,INFY.NS
2018-08-24,574.8174459265643,577.0401657558751,566.4205322634559,567.3261108398438,7053000,INFY.NS
