Date,Open,High,Low,Close,Volume,Symbol
2018-01-01,697.9104224585105,705.2519795507221,690.4759572392455,692.0093383789062,2476302,M&M.NS
2018-01-02,700.6983637649797,704.4155964639982,693.5426794752752,699.6761474609375,3020597,M&M.NS
2018-01-03,702.4640371325534,705.3448696431727,696.9810964853485,701.5347290039062,2256643,M&M.NS
2018-01-04,707.2034864476118,707.2034864476118,697.4457510892676,702.5569458007812,1663380,M&M.NS
2018-01-05,702.5570279884552,704.8802985836551,700.3266655288738,702.8822631835938,1255982,M&M.NS
2018-01-08,703.5327121972596,706.2741825393676,703.0680581297994,706.1812744140625,2309604,M&M.NS
2018-01-09,706.2742090305774,711.8500580492398,703.6721574992954,708.551025390625,1947163,M&M.NS
2018-01-10,708.1792548716913,710.920725221541,700.884208680154,706.134765625,1275821,M&M.NS
2018-01-11,706.5530214259678,714.5915601387009,702.0923533575983,712.4541625976562,2291617,M&M.NS
2018-01-12,712.8723336028451,715.102696083889,707.9005571694638,713.2440795898438,1363265,M&M.NS
2018-01-15,715.5672784358343,720.8178921930638,702.2317291168083,705.53076171875,2127778,M&M.NS
2018-01-16,705.344783889204,708.6438160007202,688.6172396072466,693.914306640625,1611817,M&M.NS
2018-01-17,694.2396251996666,700.6983280289071,686.6192872112271,692.6597900390625,1940533,M&M.NS
2018-01-18,696.9811091267595,710.9207313092948,692.3345683992478,705.5772094726562,2810014,M&M.NS
2018-01-19,706.2741937721814,713.9874400705999,695.4012770765951,711.29248046875,2005133,M&M.NS
2018-01-22,708.2257362537922,714.6379853383843,702.5569790842894,705.9024658203125,934811,M&M.NS
2018-01-23,708.0863223460165,718.3551655679332,707.5752142320729,714.6843872070312,2775928,M&M.NS
2018-01-24,714.6844738291463,716.4966361986459,699.2115260291243,701.9994506835938,2080315,M&M.NS
2018-01-25,703.0216470230058,708.13284207737,695.4477625724414,704.229736328125,2878048,M&M.NS
2018-01-29,703.7650393821239,717.4258803124783,703.7650393821239,710.316650390625,2074165,M&M.NS
2018-01-30,709.9914807723704,714.3127866877734,699.8619984763034,710.827880859375,1648188,M&M.NS
2018-01-31,710.7348708261775,716.6360116861016,703.1610433395156,709.1085815429688,2242045,M&M.NS
2018-02-01,714.5450854999544,745.816271865144,709.0621445251369,742.284912109375,6896060,M&M.NS
2018-02-02,742.2849045616974,743.4465397801039,711.4318618167292,715.7996215820312,3783976,M&M.NS
2018-02-05,708.969192759339,715.3349307409483,692.3345545982546,706.7388305664062,2018332,M&M.NS
2018-02-06,691.2193438963534,706.1812381321425,679.0918847028181,698.65380859375,5626253,M&M.NS
2018-02-07,713.1510719357409,717.3794125255496,691.1729122724375,694.2860717773438,1909559,M&M.NS
2018-02-08,700.6983781704789,706.9247544134354,693.2639126195985,699.025634765625,3024010,M&M.NS
2018-02-09,694.1932092904941,700.0478394705368,689.5466683983221,697.027587890625,2214895,M&M.NS
2018-02-12,715.567249778768,715.567249778768,690.4759306306813,693.2638549804688,2662221,M&M.NS
2018-02-14,698.6538503194146,700.6518855143541,689.5930959283276,694.146728515625,1207191,M&M.NS
