date,symbol,action,shares,price,value,pnl,reason
2020-07-22,ADANIENT,BUY,11,168.989501953125,1858.884521484375,,
2020-07-22,HDFCBANK,BUY,3,533.4255981445312,1600.2767944335938,,
2020-07-22,ICICIBANK,BUY,2,368.5951843261719,737.1903686523438,,
2020-07-22,ONGC,BUY,24,59.43653106689453,1426.4767456054688,,
2020-07-22,POWERGRID,BUY,18,73.0605697631836,1315.0902557373047,,
2020-07-22,SUNPHARMA,SELL,1,446.6758728027344,446.6758728027344,-9.511810302734432,signal
2020-07-22,TATACONSUM,SELL,1,391.5516052246094,391.5516052246094,22.9927978515625,signal
2020-07-28,ICICIBANK,SELL,2,340.5467834472656,681.0935668945312,-56.0968017578125,stop_loss
2020-07-29,TATACONSUM,BUY,3,411.4659118652344,1234.3977355957031,,
2020-07-31,HDFCBANK,SELL,3,489.1214904785156,1467.3644714355469,-132.91232299804688,stop_loss
2020-08-03,ONGC,SELL,24,54.61540985107422,1310.7698364257812,-115.7069091796875,stop_loss
2020-08-05,ADANIPORTS,BUY,4,317.5216369628906,1270.0865478515625,,
2020-08-05,BAJAJ-AUTO,SELL,1,2631.3134765625,2631.3134765625,167.681884765625,signal
2020-08-05,BPCL,SELL,17,138.81918334960938,2359.9261169433594,183.4127655029297,signal
2020-08-05,HDFCLIFE,SELL,2,595.8796997070312,1191.7593994140625,153.1558837890625,signal
2020-08-05,NESTLEIND,SELL,7,774.0076904296875,5418.0538330078125,297.621337890625,signal
2020-08-05,SUNPHARMA,BUY,5,498.0487976074219,2490.2439880371094,,
2020-08-12,ASIANPAINT,BUY,1,1717.6536865234375,1717.6536865234375,,
2020-08-12,HDFCBANK,BUY,4,503.75537109375,2015.021484375,,
2020-08-12,ICICIBANK,BUY,5,354.8127136230469,1774.0635681152344,,
2020-08-12,SBILIFE,SELL,1,846.57421875,846.57421875,6.075927734375,signal
2020-08-19,BHARTIARTL,SELL,4,514.066650390625,2056.2666015625,-74.851318359375,signal
2020-08-19,COALINDIA,BUY,23,81.13798522949219,1866.1736602783203,,
2020-08-19,NTPC,BUY,20,76.5182113647461,1530.3642272949219,,
2020-08-26,APOLLOHOSP,SELL,1,1627.2352294921875,1627.2352294921875,183.2509765625,signal
2020-08-26,CIPLA,SELL,10,720.4732055664062,7204.7320556640625,1499.2205810546875,signal
2020-08-26,KOTAKBANK,BUY,6,286.1445617675781,1716.8673706054688,,
2020-09-02,BHARTIARTL,BUY,1,528.1691284179688,528.1691284179688,,
2020-09-02,COALINDIA,SELL,23,81.85867309570312,1882.7494812011719,16.575820922851562,signal
2020-09-02,ITC,SELL,4,146.8056182861328,587.2224731445312,-3.8212890625,signal
2020-09-02,LT,SELL,1,889.5404052734375,889.5404052734375,7.6995849609375,signal
2020-09-02,NTPC,SELL,20,79.99447631835938,1599.8895263671875,69.52529907226562,signal
2020-09-08,BHARTIARTL,SELL,1,477.851318359375,477.851318359375,-50.31781005859375,stop_loss
2020-09-09,KOTAKBANK,SELL,6,264.12652587890625,1584.7591552734375,-132.10821533203125,stop_loss
2020-09-09,ADANIPORTS,SELL,4,333.7812194824219,1335.1248779296875,65.038330078125,signal
2020-09-09,AXISBANK,SELL,7,429.4568481445313,3006.197937011719,46.00799560546915,signal
2020-09-09,BAJAJFINSV,SELL,4,601.3271484375,2405.30859375,-7.6826171875,signal
2020-09-09,BAJFINANCE,SELL,9,335.2898254394531,3017.608428955078,430.57672119140625,signal
2020-09-09,HEROMOTOCO,SELL,3,2396.73193359375,7190.19580078125,1391.375244140625,signal
2020-09-09,HINDALCO,SELL,46,176.4145965576172,8115.071441650391,1578.369384765625,signal
2020-09-09,ICICIBANK,SELL,5,355.53814697265625,1777.6907348632812,3.627166748046875,signal
2020-09-09,SBIN,SELL,1,179.79132080078125,179.79132080078125,9.457839965820312,signal
2020-09-09,SUNPHARMA,SELL,5,480.5510559082031,2402.7552795410156,-87.48870849609375,signal
2020-09-09,UPL,SELL,1,469.797607421875,469.797607421875,51.9814453125,signal
2020-09-16,APOLLOHOSP,BUY,3,1664.38818359375,4993.16455078125,,
2020-09-16,BAJAJ-AUTO,BUY,1,2656.629638671875,2656.629638671875,,
2020-09-16,BRITANNIA,BUY,1,3548.30615234375,3548.30615234375,,
2020-09-16,CIPLA,BUY,6,724.9039306640625,4349.423583984375,,
2020-09-16,DIVISLAB,BUY,1,3147.14013671875,3147.14013671875,,
2020-09-16,HDFCBANK,SELL,4,517.9393310546875,2071.75732421875,56.73583984375,signal
2020-09-16,HDFCLIFE,BUY,7,589.5761108398438,4127.032775878906,,
2020-09-16,HEROMOTOCO,BUY,1,2522.34521484375,2522.34521484375,,
2020-09-16,SBILIFE,BUY,4,857.1947021484375,3428.77880859375,,
2020-09-16,TATASTEEL,SELL,22,34.83110046386719,766.2842102050781,164.36990356445312,signal
2020-09-16,UPL,BUY,6,502.0484008789063,3012.290405273438,,
2020-09-23,ASIANPAINT,SELL,1,1860.341796875,1860.341796875,142.6881103515625,signal
2020-09-23,BRITANNIA,SELL,1,3345.624755859375,3345.624755859375,-202.681396484375,signal
2020-09-23,EICHERMOT,SELL,1,1980.02392578125,1980.02392578125,222.2523193359375,signal
2020-09-23,HDFCLIFE,SELL,7,571.5028076171875,4000.5196533203125,-126.51312255859375,signal
