date,portfolio_value,cash,n_positions,regime
2022-08-26,174991.49272703388,25192.05444883565,32,0
2022-08-29,174170.45367979267,25192.05444883565,32,0
2022-08-30,177608.1601006911,25192.05444883565,32,0
2022-08-31,177604.17882841328,21206.800898725785,34,0
2022-09-01,177084.2737991164,21206.800898725785,34,0
2022-09-02,177388.9576585677,22967.544297972003,33,0
2022-09-05,177998.68174914387,22967.544297972003,33,0
2022-09-06,177997.99382189778,22967.544297972003,33,0
2022-09-07,178264.0627679427,29984.07805724935,33,0
2022-09-08,179585.41045471028,29984.07805724935,33,0
2022-09-09,179555.974999388,29984.07805724935,33,0
2022-09-12,180354.09368224934,29984.07805724935,33,0
2022-09-13,181876.57354064778,29984.07805724935,33,0
2022-09-14,182313.74713093403,18930.103194776817,38,0
2022-09-15,181961.73297077778,18930.103194776817,38,0
2022-09-16,179147.1182552016,18930.103194776817,38,0
2022-09-19,180807.02069050435,18930.103194776817,38,0
2022-09-20,183267.82276875142,18930.103194776817,38,0
2022-09-21,181848.879263655,46159.61446262959,27,0
2022-09-22,182206.4192721999,46159.61446262959,27,0
2022-09-23,179901.77692658833,48350.39576203755,25,0
2022-09-26,176376.97142335348,50571.15648194722,24,0
2022-09-27,176344.51335450582,50571.15648194722,24,0
2022-09-28,175309.06624537494,133331.99098902728,7,0
2022-09-29,175150.90737086322,133331.99098902728,7,0
2022-09-30,175469.5199807265,133331.99098902728,7,0
2022-10-03,174549.5770485976,133331.99098902728,7,0
2022-10-04,175425.0581887343,133331.99098902728,7,0
2022-10-05,175340.50621209553,62428.02780328206,17,0
2022-10-06,175175.15542779377,62428.02780328206,17,0
2022-10-07,175025.07341180256,62428.02780328206,17,0
2022-10-10,174751.49965081623,62428.02780328206,17,0
2022-10-11,172299.2134208358,69295.7620811141,16,0
2022-10-12,173171.91403617698,42476.65553703147,22,0
2022-10-13,172633.81609763938,42476.65553703147,22,0
2022-10-14,173130.60685764914,45559.030769697485,21,0
2022-10-17,173558.9324932082,48006.640951155,20,0
2022-10-18,174963.38789176778,48006.640951155,20,0
2022-10-19,174208.47512522727,32921.54591074974,27,0
2022-10-20,174923.13233653098,32921.54591074974,27,0
2022-10-21,174903.2790879348,32921.54591074974,27,0
2022-10-24,176111.31153574973,32921.54591074974,27,0
2022-10-25,175858.78384104758,32921.54591074974,27,0
2022-10-26,175834.12481199484,42828.371500837624,27,0
2022-10-27,176960.0426815627,42828.371500837624,27,0
2022-10-28,176717.43086515646,42828.371500837624,27,0
2022-10-31,178087.51712309103,42828.371500837624,27,0
2022-11-01,179281.49614988547,42828.371500837624,27,0
